,CustomerId,Profit,Recency,Frequency,Monetary,Variance,RFM_group_name,SegmentID,Segment_Name
956,1001.0,196.0,6.0,10.0,2258.38,5.0,Potential Loyalist,2,srebro
957,1002.0,153.0,4.0,12.0,2021.12,8.0,Uncertain,2,srebro
958,1003.0,263.0,7.0,22.0,5131.0,20.0,Loyal Custome,1,złoto
959,1004.0,77.0,3.0,9.0,1626.9,5.0,Potential Loyalist,2,srebro
960,1005.0,6.0,32.0,1.0,59.04,1.0,Hibernating,0,brąz
961,1006.0,101.0,5.0,7.0,4327.82,11.0,Loyal Custome,2,srebro
962,1007.0,647.0,2.0,19.0,24822.38,23.0,Champion,1,złoto
963,1008.0,391.0,3.0,12.0,12183.13,24.0,Champion,1,złoto
964,1009.0,18.0,4.0,2.0,413.28,3.0,Potential Loyalist,2,srebro
965,1010.0,870.0,3.0,24.0,38000.18,33.0,Champion,1,złoto
966,1011.0,1106.0,7.0,14.0,98750.65,56.0,Loyal Custome,1,złoto
967,1012.0,515.0,10.0,7.0,31714.6,31.0,Loyal Custome,2,srebro
968,1013.0,97.0,5.0,9.0,2268.02,12.0,Potential Loyalist,2,srebro
969,1014.0,413.0,11.0,9.0,32792.93,26.0,Loyal Custome,1,złoto
970,1015.0,8.0,55.0,1.0,75.48,1.0,Hibernating,0,brąz
971,1016.0,894.0,3.0,18.0,31481.53,41.0,Champion,1,złoto
972,1017.0,20.0,56.0,1.0,188.7,1.0,Hibernating,0,brąz
973,1018.0,158.0,24.0,9.0,3184.62,9.0,Needs Attention,2,srebro
974,1019.0,1832.0,4.0,37.0,54592.49,58.0,Champion,1,złoto
975,1020.0,73.0,14.0,7.0,1117.58,7.0,Needs Attention,2,srebro
976,1021.0,269.0,6.0,9.0,9854.03,15.0,Loyal Custome,2,srebro
977,1022.0,293.0,20.0,4.0,25942.7,12.0,At Risk,2,srebro
978,1023.0,212.0,16.0,11.0,3999.01,14.0,Loyal Custome,2,srebro
979,1024.0,488.0,12.0,15.0,25444.51,19.0,Loyal Custome,1,złoto
980,1025.0,785.0,2.0,25.0,48644.0,40.0,Champion,1,złoto
981,1026.0,252.0,2.0,7.0,11392.71,23.0,Loyal Custome,1,złoto
982,1027.0,8.0,48.0,1.0,75.48,1.0,Hibernating,0,brąz
983,1028.0,227.0,11.0,5.0,2316.7,7.0,Needs Attention,2,srebro
984,1029.0,80.0,25.0,5.0,768.58,2.0,Hibernating,0,brąz
985,1030.0,1512.0,18.0,13.0,85145.21,40.0,Loyal Custome,1,złoto
986,1031.0,15.0,10.0,1.0,278.85,1.0,Potential Loyalist,0,brąz
987,1032.0,564.0,3.0,9.0,33983.72,21.0,Loyal Custome,1,złoto
988,1033.0,235.0,10.0,15.0,6655.41,19.0,Loyal Custome,2,srebro
989,1034.0,231.0,30.0,7.0,9238.58,13.0,At Risk,2,srebro
990,1035.0,286.0,3.0,8.0,7986.46,18.0,Loyal Custome,1,złoto
991,1036.0,244.0,2.0,13.0,7112.0,17.0,Loyal Custome,1,złoto
